Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,T:\Data\Islet\N1\Islet_Pooled_P6_tech1_150ng_12-24-2021_Slot2-51_2375.d
Q6UUV9,Q6UUV9,,CRTC1,,2743.09
Q6UW02,Q6UW02,,CYP20A1,,6295.41
Q6UW68,Q6UW68,,TMEM205,,29343.2
Q6UWE0,Q6UWE0,,LRSAM1,,3748.33
Q6UWJ1,Q6UWJ1,,TMCO3,,1292
Q6UWL6,Q6UWL6,,KIRREL2,,
Q6UWM9,Q6UWM9,,UGT2A3,,475.406
Q6UWP2,Q6UWP2,,DHRS11,,2621.21
Q6UWP7,Q6UWP7,,LCLAT1,,10800.5
Q6UWP8,Q6UWP8,,SBSN,,339.89
Q6UX04,Q6UX04,,CWC27,,3537.77
Q6UX06,Q6UX06,,OLFM4,,5062.05
Q6UX07,Q6UX07,,DHRS13,,2573.64
Q6UX72,Q6UX72,,B3GNT9,,2013.83
Q6UXD5,Q6UXD5,,SEZ6L2,,4352.07
Q6UXG2,Q6UXG2,,ELAPOR1,,24856.9
Q6UXH1,Q6UXH1,,CRELD2,,12769.5
Q6UXN9,Q6UXN9,,WDR82,,6274.1
Q6UXT9,Q6UXT9,,ABHD15,,1644.16
Q6UXV4,Q6UXV4,,APOOL,,11885.1
Q6V1X1,Q6V1X1,,DPP8,,
Q6VMQ6,Q6VMQ6,,ATF7IP,,1414.65
Q6VN20,Q6VN20,,RANBP10,,3305.16
Q6VY07,Q6VY07,,PACS1,,9243.47
Q6W4X9,Q6W4X9,,MUC6,,1260.53
Q6WCQ1,Q6WCQ1,,MPRIP,,10670.1
Q6WKZ4,Q6WKZ4,,RAB11FIP1,,19684.1
Q6XE24,Q6XE24,,RBMS3,,1531.46
Q6XQN6,Q6XQN6,,NAPRT,,15697
Q6Y1H2,Q6Y1H2,,HACD2,,9311.43
Q6Y288,Q6Y288,,B3GLCT,,793.287
Q6Y7W6,Q6Y7W6,,GIGYF2,,10652.9
Q6YBV0,Q6YBV0,,SLC36A4,,1688.86
Q6YHU6,Q6YHU6,,THADA,,
Q6YN16,Q6YN16,,HSDL2,,35543.8
Q6YP21,Q6YP21,,KYAT3,,9480.89
Q6ZMG9,Q6ZMG9,,CERS6,,5767.34
Q6ZMI0,Q6ZMI0,,PPP1R21,,18668.8
Q6ZMK1,Q6ZMK1,,CYHR1,,1410.79
Q6ZN30,Q6ZN30,,BNC2,,11639.1
Q6ZN55,Q6ZN55,,ZNF574,,1426.81
Q6ZNB6,Q6ZNB6,,NFXL1,,4829.87
Q6ZNJ1,Q6ZNJ1,,NBEAL2,,
Q6ZNW5,Q6ZNW5,,GDPGP1,,1485.77
Q6ZPD9,Q6ZPD9,,DPY19L3,,1934.8
Q6ZRP7,Q6ZRP7,,QSOX2,,8754.01
Q6ZRS2,Q6ZRS2,,SRCAP,,2176.26
Q6ZRV2,Q6ZRV2,,FAM83H,,2562.46
Q6ZS17,Q6ZS17,,RIPOR1,,2067.18
Q6ZS30,Q6ZS30,,NBEAL1,,1595.11
Q6ZSJ8,Q6ZSJ8,,C1orf122,,3564.14
Q6ZSR9,Q6ZSR9,,,,7737.97
Q6ZSS7,Q6ZSS7,,MFSD6,,6778.8
Q6ZSZ5,Q6ZSZ5,,ARHGEF18,,6861.24
Q6ZT07,Q6ZT07,,TBC1D9,,
Q6ZT12,Q6ZT12,,UBR3,,2713.29
Q6ZT21,Q6ZT21,,TMPPE,,2820.58
Q6ZTN6,Q6ZTN6,,ANKRD13D,,2181.28
Q6ZTW0,Q6ZTW0,,TPGS1,,812.712
Q6ZU35,Q6ZU35,,CRACD,,1154.33
Q6ZU65,Q6ZU65,,UBN2,,4831.54
Q6ZUJ8,Q6ZUJ8,,PIK3AP1,,2961.87
Q6ZUS6,Q6ZUS6,,CCDC149,,1349.06
Q6ZUT6,Q6ZUT6,,CCDC9B,,742.779
Q6ZUT9,Q6ZUT9,,DENND5B,,584.041
Q6ZV29,Q6ZV29,,PNPLA7,,946.279
Q6ZVF9,Q6ZVF9,,GPRIN3,,9009.17
Q6ZVK8,Q6ZVK8,,NUDT18,,3245.76
Q6ZVM7,Q6ZVM7,,TOM1L2,,22968.2
Q6ZVX7,Q6ZVX7,,NCCRP1,,
Q6ZW49,Q6ZW49,,PAXIP1,,1455.66
Q6ZWB6,Q6ZWB6,,KCTD8,,23154.7
Q6ZWJ1,Q6ZWJ1,,STXBP4,,
Q6ZWL3,Q6ZWL3,,CYP4V2,,200.098
Q6ZXV5,Q6ZXV5,,TMTC3,,12287.2
Q709C8,Q709C8,,VPS13C,,17055.2
Q709F0,Q709F0,,ACAD11,,3015.81
Q70CQ2,Q70CQ2,,USP34,,
Q70E73,Q70E73,,RAPH1,,11237.1
Q70IA6,Q70IA6,,MOB2,,3091.93
Q70SY1,Q70SY1,,CREB3L2,,512.645
Q70UQ0,Q70UQ0,,IKBIP,,3707.67
Q70Z53,Q70Z53,,FRA10AC1,,
Q712K3,Q712K3,,UBE2R2,,9003.21
Q717R9,Q717R9,,CYS1,,122.247
Q71RC2,Q71RC2,,LARP4,,5657.03
Q71SY5,Q71SY5,,MED25,,3235.76
Q71U36,Q71U36,,TUBA1A,,347082
Q71UM5,Q71UM5,,RPS27L,,22945.4
Q75N03,Q75N03,,CBLL1,,3775.19
Q75QN2,Q75QN2,,INTS8,,1970.67
Q75T13,Q75T13,,PGAP1,,1590.89
Q765P7,Q765P7,,MTSS2,,11641.3
Q76FK4,Q76FK4,,NOL8,,309.909
Q76L83,Q76L83,,ASXL2,,
Q76N32,Q76N32,,CEP68,,
Q76NI1,Q76NI1,,KNDC1,,2035.09
Q7KYR7,Q7KYR7,,BTN2A1,,1837.43
Q7KZ85,Q7KZ85,,SUPT6H,,9872.54
Q7KZF4,Q7KZF4,,SND1,,134311
Q7KZI7,Q7KZI7,,MARK2,,24412.2
Q7KZN9,Q7KZN9,,COX15,,
Q7L014,Q7L014,,DDX46,,17157.5
Q7L099,Q7L099,,RUFY3,,16829.4
Q7L0J3,Q7L0J3,,SV2A,,21251.4
Q7L0Y3,Q7L0Y3,,TRMT10C,,6026.84
Q7L1Q6,Q7L1Q6,,BZW1,,24125.6
Q7L1S5,Q7L1S5,,CHST9,,1295.97
Q7L1V2,Q7L1V2,,MON1B,,1725.7
Q7L1W4,Q7L1W4,,LRRC8D,,
Q7L211,Q7L211,,ABHD13,,913.917
Q7L266,Q7L266,,ASRGL1,,9820.97
Q7L2E3,Q7L2E3,,DHX30,,12615.1
Q7L2H7,Q7L2H7,,EIF3M,,8285.86
Q7L2J0,Q7L2J0,,MEPCE,,4450.64
Q7L311,Q7L311,,ARMCX2,,23088.5
Q7L3B6,Q7L3B6,,CDC37L1,,3149.08
Q7L3T8,Q7L3T8,,PARS2,,4688.54
Q7L4I2,Q7L4I2,,RSRC2,,2367.1
Q7L523,Q7L523,,RRAGA,,6672.8
Q7L576,Q7L576,,CYFIP1,,17618.6
Q7L592,Q7L592,,NDUFAF7,,
Q7L5D6,Q7L5D6,,GET4,,8046.28
Q7L5N1,Q7L5N1,,COPS6,,13772.8
Q7L5N7,Q7L5N7,,LPCAT2,,813.745
Q7L5Y1,Q7L5Y1,,ENOSF1,,6849.16
Q7L5Y9,Q7L5Y9,,MAEA,,2429.17
Q7L775,Q7L775,,EPM2AIP1,,22020.1
Q7L7V1,Q7L7V1,,DHX32,,3427.69
Q7L7X3,Q7L7X3,,TAOK1,,4524.49
Q7L8C5,Q7L8C5,,SYT13,,2831.22
Q7L8J4,Q7L8J4,,SH3BP5L,,855.678
Q7L8L6,Q7L8L6,,FASTKD5,,3325.58
Q7L8W6,Q7L8W6,,DPH6,,378.578
Q7L9B9,Q7L9B9,,EEPD1,,3274.41
Q7L9L4,Q7L9L4,,MOB1B,,17513.5
Q7LBC6,Q7LBC6,,KDM3B,,3266.83
Q7LBR1,Q7LBR1,,CHMP1B,,13024.5
Q7LFL8,Q7LFL8,,CXXC5,,
Q7LG56,Q7LG56,,RRM2B,,9028.2
Q7LGA3,Q7LGA3,,HS2ST1,,8053.41
Q7RTN6,Q7RTN6,,STRADA,,2337.08
Q7RTP6,Q7RTP6,,MICAL3,,3847.64
Q7RTS1,Q7RTS1,,BHLHA15,,4437.41
Q7RTS9,Q7RTS9,,DYM,,2075.56
Q7RTV0,Q7RTV0,,PHF5A,,13318.7
Q7RTV5,Q7RTV5,,PRXL2C,,3199.63
Q7Z2E3,Q7Z2E3,,APTX,,4216.96
Q7Z2H8,Q7Z2H8,,SLC36A1,,372.668
Q7Z2K6,Q7Z2K6,,ERMP1,,9611.99
Q7Z2K8,Q7Z2K8,,GPRIN1,,6651.72
Q7Z2T5,Q7Z2T5,,TRMT1L,,869.62
Q7Z2W4,Q7Z2W4,,ZC3HAV1,,18746.6
Q7Z2W9,Q7Z2W9,,MRPL21,,8370.47
Q7Z2Z2,Q7Z2Z2,,EFL1,,5946.27
Q7Z304,Q7Z304,,MAMDC2,,
Q7Z392,Q7Z392,,TRAPPC11,,2736.57
Q7Z3B1,Q7Z3B1,,NEGR1,,8520
Q7Z3B4,Q7Z3B4,,NUP54,,9313.8
Q7Z3C6,Q7Z3C6,,ATG9A,,3497.2
Q7Z3D6,Q7Z3D6,,DGLUCY,,13908.8
Q7Z3E2,Q7Z3E2,,CCDC186,,5333.41
Q7Z3E5,Q7Z3E5,,ARMC9,,947.889
Q7Z3J2,Q7Z3J2,,VPS35L,,7949.02
Q7Z3K3,Q7Z3K3,,POGZ,,3527.59
Q7Z3T8,Q7Z3T8,,ZFYVE16,,2552.3
Q7Z3U7,Q7Z3U7,,MON2,,9847.69
Q7Z3V4,Q7Z3V4,,UBE3B,,
Q7Z401,Q7Z401,,DENND4A,,1383.01
Q7Z404,Q7Z404,,TMC4,,10178.6
Q7Z406,Q7Z406,,MYH14,,30513.9
Q7Z412,Q7Z412,,PEX26,,2285.37
Q7Z417,Q7Z417,,NUFIP2,,5721.84
Q7Z422,Q7Z422,,SZRD1,,3463.26
Q7Z434,Q7Z434,,MAVS,,10575.7
Q7Z449,Q7Z449,,CYP2U1,,1675.66
Q7Z460,Q7Z460,,CLASP1,,6138.42
Q7Z478,Q7Z478,,DHX29,,5053.97
Q7Z4F1,Q7Z4F1,,LRP10,,
Q7Z4G1,Q7Z4G1,,COMMD6,,1489.76
Q7Z4G4,Q7Z4G4,,TRMT11,,2558.71
Q7Z4H3,Q7Z4H3,,HDDC2,,16268.3
Q7Z4H7,Q7Z4H7,,HAUS6,,
Q7Z4H8,Q7Z4H8,,POGLUT3,,3820.12
Q7Z4I7,Q7Z4I7,,LIMS2,,2334.34
Q7Z4K8,Q7Z4K8,,TRIM46,,1764.02
Q7Z4L5,Q7Z4L5,,TTC21B,,4986.34
Q7Z4Q2,Q7Z4Q2,,HEATR3,,4326.89
Q7Z4R8,Q7Z4R8,,C6orf120,,879.765
Q7Z4S6,Q7Z4S6,,KIF21A,,10592.7
Q7Z4V5,Q7Z4V5,,HDGFL2,,17256
Q7Z4W1,Q7Z4W1,,DCXR,,44652.2
Q7Z569,Q7Z569,,BRAP,,
Q7Z589,Q7Z589,,EMSY,,922.527
Q7Z5G4,Q7Z5G4,,GOLGA7,,4153.05
Q7Z5J4,Q7Z5J4,,RAI1,,1702.51
Q7Z5K2,Q7Z5K2,,WAPL,,2762.44
Q7Z5L7,Q7Z5L7,,PODN,,2931.48
Q7Z5L9,Q7Z5L9,,IRF2BP2,,9837.35
Q7Z5N4,Q7Z5N4,,SDK1,,6115.67
Q7Z5P4,Q7Z5P4,,HSD17B13,,2235.02
Q7Z6B0,Q7Z6B0,,CCDC91,,4352.94
Q7Z6B7,Q7Z6B7,,SRGAP1,,616.794
Q7Z6E9,Q7Z6E9,,RBBP6,,1461.11
Q7Z6G3,Q7Z6G3,,NECAB2,,3541.46
Q7Z6G8,Q7Z6G8,,ANKS1B,,
Q7Z6I8,Q7Z6I8,,C5orf24,,2214.01
Q7Z6J2,Q7Z6J2,,TAMALIN,,
Q7Z6K5,Q7Z6K5,,ARPIN,,7549.04
Q7Z6L1,Q7Z6L1,,TECPR1,,3406.75
Q7Z6M1,Q7Z6M1,,RABEPK,,3987.58
Q7Z6M4,Q7Z6M4,,MTERF4,,1023.57
Q7Z6Z7,Q7Z6Z7,,HUWE1,,29805.2
Q7Z739,Q7Z739,,YTHDF3,,8696.07
Q7Z794,Q7Z794,,KRT77,,12711.1
Q7Z7A4,Q7Z7A4,,PXK,,972.231
Q7Z7B1,Q7Z7B1,,PIGW,,1819.16
Q7Z7C8,Q7Z7C8,,TAF8,,908.24
Q7Z7E8,Q7Z7E8,,UBE2Q1,,2339.53
Q7Z7F0,Q7Z7F0,,KHDC4,,1298.2
Q7Z7F7,Q7Z7F7,,MRPL55,,8592.73
Q7Z7G8,Q7Z7G8,,VPS13B,,1461.19
Q7Z7H5,Q7Z7H5,,TMED4,,59188.6
Q7Z7H8,Q7Z7H8,,MRPL10,,3166.55
Q7Z7K0,Q7Z7K0,,CMC1,,30132.3
Q7Z7K6,Q7Z7K6,,CENPV,,5519.23
Q7Z7L8,Q7Z7L8,,C11orf96,,
Q7Z7M0,Q7Z7M0,,MEGF8,,
Q7Z7N9,Q7Z7N9,,TMEM179B,,3066.2
Q86SE5,Q86SE5,,RALYL,,33682.2
Q86SE8,Q86SE8,,NPM2,,6347.41
Q86SE9,Q86SE9,,PCGF5,,
Q86SF2,Q86SF2,,GALNT7,,1260.81
Q86SK9,Q86SK9,,SCD5,,17320.6
Q86SQ0,Q86SQ0,,PHLDB2,,3616.6
Q86SX6,Q86SX6,,GLRX5,,4357.32
Q86SZ2,Q86SZ2,,TRAPPC6B,,4639.25
Q86T03,Q86T03,,PIP4P1,,1983.3
Q86T24,Q86T24,,ZBTB33,,
Q86TB9,Q86TB9,,PATL1,,2286.93
Q86TG7,Q86TG7,,PEG10,,5697.4
Q86TH1,Q86TH1,,ADAMTSL2,,
Q86TI0,Q86TI0,,TBC1D1,,4651.15
Q86TI2,Q86TI2,,DPP9,,5412.58
Q86TM6,Q86TM6,,SYVN1,,3551.15
Q86TN4,Q86TN4,,TRPT1,,3930.6
Q86TP1,Q86TP1,,PRUNE1,,15644.6
Q86TU7,Q86TU7,,SETD3,,5818.67
Q86TV6,Q86TV6,,TTC7B,,3674.44
Q86TW2,Q86TW2,,ADCK1,,3432
Q86TX2,Q86TX2,,ACOT1,,23323.7
Q86U28,Q86U28,,ISCA2,,3790.73
Q86U38,Q86U38,,NOP9,,2650.15
Q86U42,Q86U42,,PABPN1,,36399
Q86U44,Q86U44,,METTL3,,5018.99
Q86U70,Q86U70,,LDB1,,1067.25
Q86U86,Q86U86,,PBRM1,,5467.63
Q86U90,Q86U90,,YRDC,,4134.78
Q86UA1,Q86UA1,,PRPF39,,1553.55
Q86UA6,Q86UA6,,RPAIN,,3929.54
Q86UE4,Q86UE4,,MTDH,,67978.1
Q86UE8,Q86UE8,,TLK2,,1284.99
Q86UK7,Q86UK7,,ZNF598,,1987.5
Q86UL3,Q86UL3,,GPAT4,,1936.86
Q86UL8,Q86UL8,,MAGI2,,2040.56
Q86UP2,Q86UP2,,KTN1,,42143.7
Q86UP6,Q86UP6,,CUZD1,,12951.3
Q86US8,Q86US8,,SMG6,,1685.35
Q86UT6,Q86UT6,,NLRX1,,7372.54
Q86UU0,Q86UU0,,BCL9L,,2476.39
Q86UU1,Q86UU1,,PHLDB1,,3949.36
Q86UV5,Q86UV5,,USP48,,4238.99
Q86UW6,Q86UW6,,N4BP2,,
Q86UW7,Q86UW7,,CADPS2,,5463.17
Q86UW8,Q86UW8,,HAPLN4,,2626.12
Q86UX6,Q86UX6,,STK32C,,1826.74
Q86UX7,Q86UX7,,FERMT3,,1295.62
Q86UY6,Q86UY6,,NAA40,,1130.68
Q86UY8,Q86UY8,,NT5DC3,,12424.9
Q86V21,Q86V21,,AACS,,9026.6
Q86V48,Q86V48,,LUZP1,,2396.77
Q86V81,Q86V81,,ALYREF,,54012.1
Q86V85,Q86V85,,GPR180,,1699.7
Q86V87,Q86V87,,FAM160B2,,1519.77
Q86V88,Q86V88,,MDP1,,22831.5
Q86V97,Q86V97,,KBTBD6,,3130.87
Q86VD7,Q86VD7,,SLC25A42,,4478.93
Q86VM9,Q86VM9,,ZC3H18,,8394.95
Q86VN1,Q86VN1,,VPS36,,10301.3
Q86VP1,Q86VP1,,TAX1BP1,,893.873
Q86VP3,Q86VP3,,PACS2,,3825.89
Q86VP6,Q86VP6,,CAND1,,53470.1
Q86VQ6,Q86VQ6,,TXNRD3,,2579.67
Q86VR2,Q86VR2,,RETREG3,,2982.13
Q86VS8,Q86VS8,,HOOK3,,4953.52
Q86VU5,Q86VU5,,COMTD1,,37241.1
Q86VW0,Q86VW0,,SESTD1,,
Q86VX2,Q86VX2,,COMMD7,,3954.27
Q86VX9,Q86VX9,,MON1A,,2771.82
Q86VY4,Q86VY4,,TSPYL5,,5120.33
Q86VY9,Q86VY9,,TMEM200A,,3931.04
Q86VZ2,Q86VZ2,,WDR5B,,586.571
Q86VZ4,Q86VZ4,,LRP11,,3173.81
Q86W42,Q86W42,,THOC6,,2035.8
Q86W50,Q86W50,,METTL16,,2486.1
Q86W56,Q86W56,,PARG,,1008.77
Q86W92,Q86W92,,PPFIBP1,,392.028
Q86WA6,Q86WA6,,BPHL,,7521.57
Q86WA8,Q86WA8,,LONP2,,2415.15
Q86WA9,Q86WA9,,SLC26A11,,1609.33
Q86WB0,Q86WB0,,ZC3HC1,,2023.79
Q86WG5,Q86WG5,,SBF2,,690.706
Q86WJ1,Q86WJ1,,CHD1L,,4846.08
Q86WK6,Q86WK6,,AMIGO1,,740.327
Q86WN1,Q86WN1,,FCHSD1,,1389.08
Q86WQ0,Q86WQ0,,NR2C2AP,,1633.61
Q86WR0,Q86WR0,,CCDC25,,3386.75
Q86WT1,Q86WT1,,TTC30A,,1965.87
Q86WU2,Q86WU2,,LDHD,,2571.54
Q86WV6,Q86WV6,,STING1,,
Q86WX3,Q86WX3,,RPS19BP1,,5910.2
Q86X10,Q86X10,,RALGAPB,,5614.58
Q86X19,Q86X19,,TMEM17,,4053.21
Q86X27,Q86X27,,RALGPS2,,910.246
Q86X29,Q86X29,,LSR,,9368.25
Q86X55,Q86X55,,CARM1,,5891.25
Q86X76,Q86X76,,NIT1,,16619.9
Q86X83,Q86X83,,COMMD2,,7203.95
Q86XE3,Q86XE3,,MICU3,,
Q86XE5,Q86XE5,,HOGA1,,25857.5
Q86XK2,Q86XK2,,FBXO11,,53.8065
Q86XL3,Q86XL3,,ANKLE2,,2246.32
Q86XN8,Q86XN8,,MEX3D,,301.57
Q86XP3,Q86XP3,,DDX42,,14560
Q86XR8,Q86XR8,,CEP57,,2417.26
Q86XT9,Q86XT9,,TMEM219,,4182.82
Q86XX4,Q86XX4,,FRAS1,,
Q86XZ4,Q86XZ4,,SPATS2,,1355.25
Q86Y07,Q86Y07,,VRK2,,2124.15
Q86Y13,Q86Y13,,DZIP3,,
Q86Y37,Q86Y37,,CACUL1,,281.589
Q86Y38,Q86Y38,,XYLT1,,
Q86Y39,Q86Y39,,NDUFA11,,19147.8
Q86Y56,Q86Y56,,DNAAF5,,4141.17
Q86Y79,Q86Y79,,PTRH1,,3765.18
Q86Y82,Q86Y82,,STX12,,22084.4
Q86YB7,Q86YB7,,ECHDC2,,39604.9
Q86YB8,Q86YB8,,ERO1B,,150153
Q86YD1,Q86YD1,,PTOV1,,
Q86YH6,Q86YH6,,PDSS2,,1774.8
Q86YJ6,Q86YJ6,,THNSL2,,1906.92
Q86YL5,Q86YL5,,TDRP,,2268.74
Q86YM7,Q86YM7,,HOMER1,,
Q86YP4,Q86YP4,,GATAD2A,,5958.22
Q86YQ8,Q86YQ8,,CPNE8,,
Q86YR5,Q86YR5,,GPSM1,,4345.4
Q86YS6,Q86YS6,,RAB43,,798.798
Q86YS7,Q86YS7,,C2CD5,,7535.6
Q86YT6,Q86YT6,,MIB1,,680.626
Q86YV5,Q86YV5,,PRAG1,,
Q86YV9,Q86YV9,,HPS6,,921.269
Q86YZ3,Q86YZ3,,HRNR,,10986.6
Q8IU81,Q8IU81,,IRF2BP1,,8053.73
Q8IU85,Q8IU85,,CAMK1D,,4562.81
Q8IUC4,Q8IUC4,,RHPN2,,1269.16
Q8IUD2,Q8IUD2,,ERC1,,12015.6
Q8IUE6,Q8IUE6,,H2AC21,,218078
Q8IUF1,Q8IUF1,,CBWD2,,2011.28
Q8IUF8,Q8IUF8,,RIOX2,,3476.64
Q8IUH3,Q8IUH3,,RBM45,,3890.98
Q8IUH4,Q8IUH4,,ZDHHC13,,2833.43
Q8IUH5,Q8IUH5,,ZDHHC17,,
Q8IUI8,Q8IUI8,,CRLF3,,1077.73
Q8IUR0,Q8IUR0,,TRAPPC5,,9807.2
Q8IUR7,Q8IUR7,,ARMC8,,4059.17
Q8IUW3,Q8IUW3,,SPATA2L,,865.83
Q8IUW5,Q8IUW5,,RELL1,,
Q8IUX1,Q8IUX1,,TMEM126B,,
Q8IUZ5,Q8IUZ5,,PHYKPL,,3533.29
Q8IV08,Q8IV08,,PLD3,,51076.7
Q8IV32,Q8IV32,,CCDC71,,9315.7
Q8IV36,Q8IV36,,HID1,,19153.2
Q8IV38,Q8IV38,,ANKMY2,,6480.03
Q8IV48,Q8IV48,,ERI1,,
Q8IV50,Q8IV50,,LYSMD2,,24583.4
Q8IV63,Q8IV63,,VRK3,,2563.89
Q8IVD9,Q8IVD9,,NUDCD3,,2143.4
Q8IVF7,Q8IVF7,,FMNL3,,866.971
Q8IVH2,Q8IVH2,,FOXP4,,3413.51
Q8IVH4,Q8IVH4,,MMAA,,3215.05
Q8IVH8,Q8IVH8,,MAP4K3,,910.612
Q8IVI9,Q8IVI9,,NOSTRIN,,2766.13
Q8IVJ1,Q8IVJ1,,SLC41A1,,3448.29
Q8IVL1,Q8IVL1,,NAV2,,972.655
Q8IVL6,Q8IVL6,,P3H3,,2097.03
Q8IVM0,Q8IVM0,,CCDC50,,5277.46
Q8IVN3,Q8IVN3,,MUSTN1,,171.921
Q8IVS2,Q8IVS2,,MCAT,,4886.67
Q8IVS8,Q8IVS8,,GLYCTK,,2162.83
Q8IVT2,Q8IVT2,,MISP,,2398.26
Q8IVT5,Q8IVT5,,KSR1,,672.662
Q8IW19,Q8IW19,,APLF,,
Q8IW35,Q8IW35,,CEP97,,
Q8IW45,Q8IW45,,NAXD,,30169.2
Q8IWA0,Q8IWA0,,WDR75,,
Q8IWA4,Q8IWA4,,MFN1,,5216.51
Q8IWA5,Q8IWA5,,SLC44A2,,7487.19
Q8IWB7,Q8IWB7,,WDFY1,,4013.19
Q8IWB9,Q8IWB9,,TEX2,,2301.55
Q8IWD4,Q8IWD4,,CCDC117,,1165.43
Q8IWE2,Q8IWE2,,FAM114A1,,16976.2
Q8IWE5,Q8IWE5,,PLEKHM2,,3127.65
Q8IWF6,Q8IWF6,,DENND6A,,1304.4
Q8IWI9,Q8IWI9,,MGA,,
Q8IWJ2,Q8IWJ2,,GCC2,,5679.11
Q8IWL3,Q8IWL3,,HSCB,,5893.84
Q8IWQ3,Q8IWQ3,,BRSK2,,
Q8IWR0,Q8IWR0,,ZC3H7A,,2585.14
Q8IWS0,Q8IWS0,,PHF6,,3973.65
Q8IWT0,Q8IWT0,,ZBTB8OS,,1452.24
Q8IWT3,Q8IWT3,,CUL9,,
Q8IWT6,Q8IWT6,,LRRC8A,,742.25
Q8IWU2,Q8IWU2,,LMTK2,,2851.42
Q8IWU4,Q8IWU4,,SLC30A8,,19775.6
Q8IWV2,Q8IWV2,,CNTN4,,
Q8IWV7,Q8IWV7,,UBR1,,2646.28
Q8IWV8,Q8IWV8,,UBR2,,2328.3
Q8IWW6,Q8IWW6,,ARHGAP12,,4981.26
Q8IWW8,Q8IWW8,,ADHFE1,,2066.66
Q8IWX8,Q8IWX8,,CHERP,,5166.5
Q8IWZ3,Q8IWZ3,,ANKHD1,,2300.75
Q8IWZ6,Q8IWZ6,,BBS7,,3191.86
Q8IWZ8,Q8IWZ8,,SUGP1,,3027.25
Q8IX01,Q8IX01,,SUGP2,,8165.7
Q8IX03,Q8IX03,,WWC1,,407.848
Q8IX04,Q8IX04,,UEVLD,,4208.77
Q8IX12,Q8IX12,,CCAR1,,17688.6
Q8IX15,Q8IX15,,HOMEZ,,
Q8IX18,Q8IX18,,DHX40,,1671.77
Q8IXB1,Q8IXB1,,DNAJC10,,6992.46
Q8IXH7,Q8IXH7,,NELFCD,,5357.29
Q8IXI1,Q8IXI1,,RHOT2,,11649.7
Q8IXI2,Q8IXI2,,RHOT1,,9341.49
Q8IXJ6,Q8IXJ6,,SIRT2,,5251.96
Q8IXK0,Q8IXK0,,PHC2,,2523.04
Q8IXK2,Q8IXK2,,GALNT12,,2525.48
Q8IXL6,Q8IXL6,,FAM20C,,1018.15
Q8IXM2,Q8IXM2,,BAP18,,12853
Q8IXM3,Q8IXM3,,MRPL41,,14041.7
Q8IXM6,Q8IXM6,,NRM,,7297.6
Q8IXQ4,Q8IXQ4,,GPALPP1,,5756.35
Q8IXQ6,Q8IXQ6,,PARP9,,4560.56
Q8IXS6,Q8IXS6,,PALM2,,5535.9
Q8IXS8,Q8IXS8,,FAM126B,,2721.64
Q8IXT5,Q8IXT5,,RBM12B,,5677.68
Q8IXW5,Q8IXW5,,RPAP2,,125.339
Q8IY17,Q8IY17,,PNPLA6,,8101.63
Q8IY18,Q8IY18,,SMC5,,
Q8IY21,Q8IY21,,DDX60,,1901.72
Q8IY22,Q8IY22,,CMIP,,4902.57
Q8IY26,Q8IY26,,PLPP6,,3562.28
Q8IY31,Q8IY31,,IFT20,,356.591
Q8IY33,Q8IY33,,MICALL2,,430.422
Q8IY37,Q8IY37,,DHX37,,1991.39
Q8IY67,Q8IY67,,RAVER1,,6515.69
Q8IY81,Q8IY81,,FTSJ3,,4324.57
Q8IY95,Q8IY95,,TMEM192,,6641.65
Q8IYB3,Q8IYB3,,SRRM1,,14446.2
Q8IYB5,Q8IYB5,,SMAP1,,10192.2
Q8IYB7,Q8IYB7,,DIS3L2,,14205.2
Q8IYB8,Q8IYB8,,SUPV3L1,,10462.9
Q8IYD1,Q8IYD1,,GSPT2,,2288.13
Q8IYH5,Q8IYH5,,ZZZ3,,1308.59
Q8IYI6,Q8IYI6,,EXOC8,,12932.6
Q8IYJ3,Q8IYJ3,,SYTL1,,12762.2
Q8IYK4,Q8IYK4,,COLGALT2,,559.763
Q8IYK8,Q8IYK8,,REM2,,3012.23
Q8IYL3,Q8IYL3,,C1orf174,,2881.67
Q8IYQ7,Q8IYQ7,,THNSL1,,13725.9
Q8IYR2,Q8IYR2,,SMYD4,,342.038
Q8IYS1,Q8IYS1,,PM20D2,,3634.65
Q8IYS2,Q8IYS2,,KIAA2013,,9862.34
Q8IYU2,Q8IYU2,,HACE1,,2149.98
Q8IYU8,Q8IYU8,,MICU2,,1038.24
Q8IZ07,Q8IZ07,,ANKRD13A,,4702.92
Q8IZ21,Q8IZ21,,PHACTR4,,3352.17
Q8IZ52,Q8IZ52,,CHPF,,23922.8
Q8IZ69,Q8IZ69,,TRMT2A,,2146.25
Q8IZ73,Q8IZ73,,RPUSD2,,1581.82
Q8IZ81,Q8IZ81,,ELMOD2,,3457.79
Q8IZ83,Q8IZ83,,ALDH16A1,,11940.6
Q8IZA0,Q8IZA0,,KIAA0319L,,4596.45
Q8IZD4,Q8IZD4,,DCP1B,,2428.28
Q8IZD6,Q8IZD6,,SLC22A15,,856.733
Q8IZE3,Q8IZE3,,SCYL3,,3772.75
Q8IZH2,Q8IZH2,,XRN1,,5968.39
Q8IZL8,Q8IZL8,,PELP1,,9770.13
Q8IZP0,Q8IZP0,,ABI1,,17370.5
